"source","target","value"
"Pälkäne","Espoo",1
"Pälkäne","Helsinki",1
"Pälkäne","Hämeenlinna",2
"Pälkäne","Janakkala",1
"Pälkäne","Joensuu",1
"Pälkäne","Kangasala",7
"Pälkäne","Naantali",2
"Pälkäne","Tampere",8
"Pälkäne","Valkeakoski",3
"Pälkäne","Vantaa",1
"Pälkäne","Vesanto",1
"Pälkäne","Ylöjärvi",1
"Hämeenlinna","Pälkäne",1
"Jämsä","Pälkäne",1
"Kangasala","Pälkäne",3
"Lahti","Pälkäne",1
"Lempäälä","Pälkäne",1
"Orivesi","Pälkäne",2
"Tampere","Pälkäne",1
"Valkeakoski","Pälkäne",3
"Ylöjärvi","Pälkäne",2
