"age","sex","category","population"
0,"Miehet","v1990",33
0,"Miehet","v2010",26
0,"Miehet","v2024",10
1,"Miehet","v1990",23
1,"Miehet","v2010",36
1,"Miehet","v2024",16
2,"Miehet","v1990",45
2,"Miehet","v2010",28
2,"Miehet","v2024",19
3,"Miehet","v1990",38
3,"Miehet","v2010",27
3,"Miehet","v2024",23
4,"Miehet","v1990",48
4,"Miehet","v2010",41
4,"Miehet","v2024",32
5,"Miehet","v1990",27
5,"Miehet","v2010",36
5,"Miehet","v2024",18
6,"Miehet","v1990",42
6,"Miehet","v2010",35
6,"Miehet","v2024",28
7,"Miehet","v1990",31
7,"Miehet","v2010",45
7,"Miehet","v2024",24
8,"Miehet","v1990",36
8,"Miehet","v2010",41
8,"Miehet","v2024",37
9,"Miehet","v1990",37
9,"Miehet","v2010",41
9,"Miehet","v2024",27
10,"Miehet","v1990",36
10,"Miehet","v2010",44
10,"Miehet","v2024",32
11,"Miehet","v1990",24
11,"Miehet","v2010",51
11,"Miehet","v2024",40
12,"Miehet","v1990",40
12,"Miehet","v2010",36
12,"Miehet","v2024",42
13,"Miehet","v1990",39
13,"Miehet","v2010",41
13,"Miehet","v2024",33
14,"Miehet","v1990",40
14,"Miehet","v2010",46
14,"Miehet","v2024",37
15,"Miehet","v1990",49
15,"Miehet","v2010",54
15,"Miehet","v2024",46
16,"Miehet","v1990",29
16,"Miehet","v2010",42
16,"Miehet","v2024",40
17,"Miehet","v1990",35
17,"Miehet","v2010",47
17,"Miehet","v2024",30
18,"Miehet","v1990",34
18,"Miehet","v2010",46
18,"Miehet","v2024",32
19,"Miehet","v1990",44
19,"Miehet","v2010",41
19,"Miehet","v2024",27
20,"Miehet","v1990",33
20,"Miehet","v2010",35
20,"Miehet","v2024",32
21,"Miehet","v1990",25
21,"Miehet","v2010",24
21,"Miehet","v2024",23
22,"Miehet","v1990",30
22,"Miehet","v2010",32
22,"Miehet","v2024",17
23,"Miehet","v1990",45
23,"Miehet","v2010",23
23,"Miehet","v2024",16
24,"Miehet","v1990",52
24,"Miehet","v2010",36
24,"Miehet","v2024",20
25,"Miehet","v1990",38
25,"Miehet","v2010",17
25,"Miehet","v2024",21
26,"Miehet","v1990",45
26,"Miehet","v2010",36
26,"Miehet","v2024",29
27,"Miehet","v1990",48
27,"Miehet","v2010",24
27,"Miehet","v2024",21
28,"Miehet","v1990",44
28,"Miehet","v2010",21
28,"Miehet","v2024",22
29,"Miehet","v1990",52
29,"Miehet","v2010",28
29,"Miehet","v2024",21
30,"Miehet","v1990",48
30,"Miehet","v2010",19
30,"Miehet","v2024",28
31,"Miehet","v1990",39
31,"Miehet","v2010",31
31,"Miehet","v2024",21
32,"Miehet","v1990",37
32,"Miehet","v2010",43
32,"Miehet","v2024",31
33,"Miehet","v1990",46
33,"Miehet","v2010",36
33,"Miehet","v2024",28
34,"Miehet","v1990",51
34,"Miehet","v2010",33
34,"Miehet","v2024",36
35,"Miehet","v1990",45
35,"Miehet","v2010",38
35,"Miehet","v2024",38
36,"Miehet","v1990",51
36,"Miehet","v2010",30
36,"Miehet","v2024",35
37,"Miehet","v1990",45
37,"Miehet","v2010",35
37,"Miehet","v2024",38
38,"Miehet","v1990",48
38,"Miehet","v2010",39
38,"Miehet","v2024",36
39,"Miehet","v1990",50
39,"Miehet","v2010",41
39,"Miehet","v2024",32
40,"Miehet","v1990",39
40,"Miehet","v2010",39
40,"Miehet","v2024",35
41,"Miehet","v1990",58
41,"Miehet","v2010",32
41,"Miehet","v2024",38
42,"Miehet","v1990",57
42,"Miehet","v2010",50
42,"Miehet","v2024",36
43,"Miehet","v1990",61
43,"Miehet","v2010",50
